,City,Country,Temp,Humidity,Cloud %,Windspeed,Lat,Long,Time
0,mar del plata,AR,13.91,38,14,10.68,-46.43,-67.52,2019-12-28 06:45:04
1,cabo san lucas,MX,17.52,72,75,1.5,22.89,-109.91,2019-12-28 06:41:11
2,aracuai,BR,18.88,94,18,1.4,-16.85,-42.07,2019-12-28 06:43:21
3,muisne,EC,24.08,89,84,2.79,0.61,-80.02,2019-12-28 06:45:05
4,jamestown,AU,37.08,15,80,4.85,-33.21,138.6,2019-12-28 06:45:05
5,kirgiz-miyaki,RU,-4.8,92,100,2.19,53.63,54.8,2019-12-28 06:45:06
6,ipixuna,BR,25.0,94,100,2.6,-1.76,-48.8,2019-12-28 06:45:06
7,smirnykh,RU,-15.88,83,0,2.83,49.74,142.83,2019-12-28 06:45:06
8,ushuaia,AR,1.95,93,53,2.05,-54.81,-68.31,2019-12-28 06:41:07
9,barrow,AR,22.77,82,14,1.22,-38.31,-60.23,2019-12-28 06:41:06
10,hasaki,JP,9.66,36,20,7.7,35.73,140.83,2019-12-28 06:45:07
11,denpasar,ID,32.0,66,40,4.1,-8.65,115.22,2019-12-28 06:41:40
12,fiumicino,IT,5.52,75,0,3.6,41.77,12.23,2019-12-28 06:45:07
13,punta arenas,CL,5.76,75,20,4.6,-53.16,-70.91,2019-12-28 06:41:11
14,omboue,GA,24.36,92,93,0.13,-1.57,9.26,2019-12-28 06:45:08
15,rikitea,PF,24.92,88,79,4.32,-23.12,-134.97,2019-12-28 06:45:08
16,alofi,NU,26.0,74,75,2.1,-19.06,-169.92,2019-12-28 06:45:08
17,provideniya,RU,-23.56,81,0,3.55,64.42,-173.23,2019-12-28 06:40:53
18,petropavlovsk-kamchatskiy,RU,0.0,76,75,10.0,53.05,158.65,2019-12-28 06:45:09
19,mbandaka,CD,24.24,82,100,0.83,0.05,18.26,2019-12-28 06:45:09
20,khatanga,RU,-34.23,98,99,3.05,71.98,102.47,2019-12-28 06:40:57
21,shenzhen,CN,21.07,45,0,5.0,22.54,114.05,2019-12-28 06:45:09
22,east london,ZA,17.0,82,75,2.1,-33.02,27.91,2019-12-28 06:45:10
23,pozo colorado,PY,26.96,65,0,2.36,-23.49,-58.8,2019-12-28 06:45:10
24,touros,BR,23.0,88,40,2.1,-5.2,-35.46,2019-12-28 06:41:13
25,yellowknife,CA,-24.09,75,90,3.6,62.45,-114.38,2019-12-28 06:40:51
26,boguchany,RU,-30.45,95,0,0.92,58.38,97.46,2019-12-28 06:45:11
27,nelson bay,AU,29.21,31,0,7.7,-32.72,152.14,2019-12-28 06:45:11
28,busselton,AU,29.1,31,0,7.56,-33.64,115.35,2019-12-28 06:41:03
29,la ronge,CA,-18.0,84,20,1.5,55.1,-105.3,2019-12-28 06:45:12
30,sertanopolis,BR,22.0,78,70,3.6,-23.06,-51.04,2019-12-28 06:45:12
31,kahului,US,21.65,88,75,4.1,20.89,-156.47,2019-12-28 06:45:12
32,hithadhoo,MV,27.62,82,100,5.49,-0.6,73.08,2019-12-28 06:45:12
33,mataura,NZ,11.11,76,84,6.71,-46.19,168.86,2019-12-28 06:41:01
34,albany,US,3.89,70,90,4.6,42.65,-73.75,2019-12-28 06:42:55
35,cape town,ZA,19.08,55,0,3.6,-33.93,18.42,2019-12-28 06:39:17
36,yeppoon,AU,28.0,51,99,5.7,-23.13,150.74,2019-12-28 06:45:13
37,narsaq,GL,-3.0,58,100,1.5,60.91,-46.05,2019-12-28 06:45:14
38,port hardy,CA,6.0,87,90,7.2,50.7,-127.42,2019-12-28 06:45:14
